Name,Disaster,Begin_Date,End_Date,Total CPI-Adjusted Cost (Millions of Dollars),Deaths,State
Southeast Severe Weather (November 1992),Severe Storm,11/21/92,11/23/92,0,0,LA
Southeast Severe Weather (November 1992),Severe Storm,11/21/92,11/23/92,0,0,AL
Southeast Severe Weather (November 1992),Severe Storm,11/21/92,11/23/92,0,0,MS
Southeast Severe Weather (November 1992),Severe Storm,11/21/92,11/23/92,0,0,GA
Southeast Severe Weather (November 1992),Severe Storm,11/21/92,11/23/92,0,0,AR
Southeast Severe Weather (November 1992),Severe Storm,11/21/92,11/23/92,0,0,IN
Southeast Severe Weather (November 1992),Severe Storm,11/21/92,11/23/92,0,0,OH
Southeast Severe Weather (November 1992),Severe Storm,11/21/92,11/23/92,0,0,KY
Southeast Severe Weather (November 1992),Severe Storm,11/21/92,11/23/92,0,0,TN
Southeast Severe Weather (November 1992),Severe Storm,11/21/92,11/23/92,0,0,NC
Northeast Winter Storm (December 1992),Winter Storm,12/10/92,12/13/92,5288.8,19,VA
Northeast Winter Storm (December 1992),Winter Storm,12/10/92,12/13/92,0,0,MD
Northeast Winter Storm (December 1992),Winter Storm,12/10/92,12/13/92,0,0,DE
Northeast Winter Storm (December 1992),Winter Storm,12/10/92,12/13/92,0,0,PA
Northeast Winter Storm (December 1992),Winter Storm,12/10/92,12/13/92,0,0,NJ
Northeast Winter Storm (December 1992),Winter Storm,12/10/92,12/13/92,0,0,NY
Northeast Winter Storm (December 1992),Winter Storm,12/10/92,12/13/92,0,0,CT
Northeast Winter Storm (December 1992),Winter Storm,12/10/92,12/13/92,0,0,RI
Northeast Winter Storm (December 1992),Winter Storm,12/10/92,12/13/92,0,0,MA
Northeast Winter Storm (December 1992),Winter Storm,12/10/92,12/13/92,0,0,WV
East Coast Blizzard and Severe Weather (March 1993),Winter Storm,3/11/93,3/14/93,11662,270,FL
East Coast Blizzard and Severe Weather (March 1993),Winter Storm,3/11/93,3/14/93,0,0,ME
Northern Plains and Ohio Valley Severe Weather (July 1993),Severe Storm,7/8/93,7/10/93,1346,1,NE
Northern Plains and Ohio Valley Severe Weather (July 1993),Severe Storm,7/8/93,7/10/93,0,0,KS
Northern Plains and Ohio Valley Severe Weather (July 1993),Severe Storm,7/8/93,7/10/93,0,0,MO
Northern Plains and Ohio Valley Severe Weather (July 1993),Severe Storm,7/8/93,7/10/93,0,0,IA
Northern Plains and Ohio Valley Severe Weather (July 1993),Severe Storm,7/8/93,7/10/93,0,0,MN
Northern Plains and Ohio Valley Severe Weather (July 1993),Severe Storm,7/8/93,7/10/93,0,0,ND
Northern Plains and Ohio Valley Severe Weather (July 1993),Severe Storm,7/8/93,7/10/93,0,0,IL
